(thousands of dollars),18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Dec
Canada,41465,53726,57335,54876,51663,60943,74584,85806,91460,107362,125953,122927,128978,135747
Newfoundland and Labrador,2144,2615,2855,2125,1430,2379,2407,2555,2620,2971,3395,3119,3410,3135
Prince Edward Island,850,1253,1348,1226,1077,1163,1173,1311,1279,1484,1654,1398,1419,1419
Nova Scotia,4451,6365,6422,5408,4610,4986,4929,5284,5430,5718,6459,5743,4331,4078
New Brunswick,2190,3029,3264,3035,2677,2930,2863,2931,3003,3379,5377,3227,3310,3470
Quebec,9416,11859,11993,11218,11389,14107,13598,17130,18765,24196,24982,26212,29005,29810
Ontario,11454,8920,8721,8947,7539,7692,19687,22821,25855,29613,33772,31786,32848,31619
Manitoba,x,x,4163,3894,4067,4782,4894,5195,5232,5832,5737,5845,4703,4617
Saskatchewan,2462,2330,2497,2542,4070,5071,6060,7029,6179,6284,6822,7083,7367,7434
Alberta,5701,11205,14225,14037,12342,14483,15876,17470,18423,21340,24862,25776,28318,29844
British Columbia,270,1077,1239,1963,1926,2844,2532,3563,4155,5965,12037,12088,12937,19021
Yukon,x,x,403,337,289,331,327,287,284,288,521,493,1012,998
Northwest Territories,x,x,205,144,246,175,237,231,234,289,337,157,317,301
Nunavut,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
monthly retail cannabis sales,,,,,,,,,,,,,,
numbers in (thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
unadjusted for seasonality,,,,,,,,,,,,,,
