"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Adjustments","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-10","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","41465","A","","","0"
"2018-11","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","53726","A","","","0"
"2018-12","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","57335","A","","","0"
"2019-01","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","54876","A","","","0"
"2019-02","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","51663","A","","","0"
"2019-03","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","60943","A","","","0"
"2019-04","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","74584","B","","","0"
"2019-05","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","85806","A","","","0"
"2019-06","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","91460","A","","","0"
"2019-07","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","107362","A","","","0"
"2019-08","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","125953","A","","","0"
"2019-09","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","122927","A","","","0"
"2019-10","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","128978","A","","","0"
"2019-11","Canada","2016A000011124","Cannabis stores [453993]","Seasonally adjusted","Dollars","81","thousands","3","v1035339099","1.30.2","135747","A","","","0"


