"REF_DATE","GEO","DGUID","Cannabis price","Units of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Atlantic","2016A00011","Consumer price","Price per gram","Dollars","81","units","0","v1001799939","2.1.1","8.32","","","","2"
"2016","Atlantic","2016A00011","Consumer price","Price per gram","Dollars","81","units","0","v1001799939","2.1.1","7.94","","","","2"
"2017","Atlantic","2016A00011","Consumer price","Price per gram","Dollars","81","units","0","v1001799939","2.1.1","7.35","","","","2"
"2018","Atlantic","2016A00011","Consumer price","Price per gram","Dollars","81","units","0","v1001799939","2.1.1","7.07","","","","2"
"2015","Atlantic","2016A00011","Producer price","Price per gram","Dollars","81","units","0","v1001799975","2.2.1","6.01","","","","2"
"2016","Atlantic","2016A00011","Producer price","Price per gram","Dollars","81","units","0","v1001799975","2.2.1","5.77","","","","2"
"2017","Atlantic","2016A00011","Producer price","Price per gram","Dollars","81","units","0","v1001799975","2.2.1","5.42","","","","2"
"2018","Atlantic","2016A00011","Producer price","Price per gram","Dollars","81","units","0","v1001799975","2.2.1","5.23","","","","2"
"2015","Quebec","2016A000224","Consumer price","Price per gram","Dollars","81","units","0","v1001799949","7.1.1","7.00","","","","2"
"2016","Quebec","2016A000224","Consumer price","Price per gram","Dollars","81","units","0","v1001799949","7.1.1","6.69","","","","2"
"2017","Quebec","2016A000224","Consumer price","Price per gram","Dollars","81","units","0","v1001799949","7.1.1","6.21","","","","2"
"2018","Quebec","2016A000224","Consumer price","Price per gram","Dollars","81","units","0","v1001799949","7.1.1","5.84","","","","2"
"2015","Quebec","2016A000224","Producer price","Price per gram","Dollars","81","units","0","v1001799985","7.2.1","4.53","","","","2"
"2016","Quebec","2016A000224","Producer price","Price per gram","Dollars","81","units","0","v1001799985","7.2.1","4.34","","","","2"
"2017","Quebec","2016A000224","Producer price","Price per gram","Dollars","81","units","0","v1001799985","7.2.1","4.05","","","","2"
"2018","Quebec","2016A000224","Producer price","Price per gram","Dollars","81","units","0","v1001799985","7.2.1","3.80","","","","2"
"2015","Ontario","2016A000235","Consumer price","Price per gram","Dollars","81","units","0","v1001799951","8.1.1","8.46","","","","2"
"2016","Ontario","2016A000235","Consumer price","Price per gram","Dollars","81","units","0","v1001799951","8.1.1","8.08","","","","2"
"2017","Ontario","2016A000235","Consumer price","Price per gram","Dollars","81","units","0","v1001799951","8.1.1","7.48","","","","2"
"2018","Ontario","2016A000235","Consumer price","Price per gram","Dollars","81","units","0","v1001799951","8.1.1","7.45","","","","2"
"2015","Ontario","2016A000235","Producer price","Price per gram","Dollars","81","units","0","v1001799987","8.2.1","4.91","","","","2"
"2016","Ontario","2016A000235","Producer price","Price per gram","Dollars","81","units","0","v1001799987","8.2.1","4.78","","","","2"
"2017","Ontario","2016A000235","Producer price","Price per gram","Dollars","81","units","0","v1001799987","8.2.1","4.53","","","","2"
"2018","Ontario","2016A000235","Producer price","Price per gram","Dollars","81","units","0","v1001799987","8.2.1","4.96","","","","2"
"2015","Prairies","2016A00014","Consumer price","Price per gram","Dollars","81","units","0","v1001799953","9.1.1","8.37","","","","2"
"2016","Prairies","2016A00014","Consumer price","Price per gram","Dollars","81","units","0","v1001799953","9.1.1","7.98","","","","2"
"2017","Prairies","2016A00014","Consumer price","Price per gram","Dollars","81","units","0","v1001799953","9.1.1","7.38","","","","2"
"2018","Prairies","2016A00014","Consumer price","Price per gram","Dollars","81","units","0","v1001799953","9.1.1","7.09","","","","2"
"2015","Prairies","2016A00014","Producer price","Price per gram","Dollars","81","units","0","v1001799989","9.2.1","6.16","","","","2"
"2016","Prairies","2016A00014","Producer price","Price per gram","Dollars","81","units","0","v1001799989","9.2.1","5.92","","","","2"
"2017","Prairies","2016A00014","Producer price","Price per gram","Dollars","81","units","0","v1001799989","9.2.1","5.58","","","","2"
"2018","Prairies","2016A00014","Producer price","Price per gram","Dollars","81","units","0","v1001799989","9.2.1","5.40","","","","2"
"2015","British Columbia","2016A000259","Consumer price","Price per gram","Dollars","81","units","0","v1001799961","13.1.1","7.99","","","","2"
"2016","British Columbia","2016A000259","Consumer price","Price per gram","Dollars","81","units","0","v1001799961","13.1.1","7.64","","","","2"
